selected_action_id,resolved_action_id,character_id,actor_character_id,time_start,time_end,combat_time_start,combat_time_end,combat_time_cost,effective_combat_time_cost,damage,total_damage_after,scheduled_damage,generated_mechanic_damage,truncated_by_combat_limit
aemeath_basic_attack,aemeath_basic_form_stage_1,aemeath,aemeath,36.69999999999999,37.08333333333332,25.566666666666663,25.949999999999996,0.38333333333333336,0.38333333333333336,4885.431626616005,586288.4847748032,0.0,0.0,False
aemeath_resonance_skill,aemeath_seraphic_duet_overturn,aemeath,aemeath,37.08333333333332,40.16666666666666,25.949999999999996,27.349999999999994,1.4,1.4,77489.30079420173,663777.785569005,0.0,24668.667546174143,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,40.16666666666666,40.93333333333332,27.349999999999994,28.11666666666666,0.7666666666666667,0.7666666666666667,9784.565650458766,673562.3512194637,0.0,0.0,False
aemeath_heavy_attack,aemeath_heavy_mech_charged_2,aemeath,aemeath,40.93333333333332,41.86666666666665,28.11666666666666,29.049999999999994,0.9333333333333333,0.9333333333333333,102704.73736730602,776267.0885867698,0.0,0.0,False
aemeath_resonance_liberation,aemeath_heavenfall_finale,aemeath,aemeath,41.86666666666665,47.53333333333332,29.049999999999994,29.049999999999994,0.0,0.0,264035.2866723377,1040302.3752591074,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_1,aemeath,aemeath,47.53333333333332,47.91666666666665,29.049999999999994,29.433333333333326,0.38333333333333336,0.38333333333333336,4885.431626616005,1045187.8068857235,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_2,aemeath,aemeath,47.91666666666665,48.59999999999998,29.433333333333326,30.11666666666666,0.6833333333333333,0.6833333333333333,7321.296241310628,1052509.1031270341,0.0,0.0,False
short_wait,short_wait,,aemeath,48.59999999999998,49.09999999999998,30.11666666666666,30.61666666666666,0.5,0.5,0.0,1052509.1031270341,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_3,aemeath,aemeath,49.09999999999998,49.833333333333314,30.61666666666666,31.349999999999994,0.7333333333333333,0.7333333333333333,9818.294628247699,1062327.3977552818,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_4,aemeath,aemeath,49.833333333333314,50.81666666666665,31.349999999999994,32.33333333333333,0.9833333333333333,0.9833333333333333,14186.197251914738,1076513.5950071965,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_1,aemeath,aemeath,50.81666666666665,51.19999999999998,32.33333333333333,32.71666666666666,0.38333333333333336,0.38333333333333336,4885.431626616005,1081399.0266338126,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_2,aemeath,aemeath,51.19999999999998,51.88333333333331,32.71666666666666,33.39999999999999,0.6833333333333333,0.6833333333333333,7321.296241310628,1088720.3228751232,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_3,aemeath,aemeath,51.88333333333331,52.616666666666646,33.39999999999999,34.133333333333326,0.7333333333333333,0.7333333333333333,9818.294628247699,1098538.6175033709,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_4,aemeath,aemeath,52.616666666666646,53.59999999999998,34.133333333333326,35.11666666666666,0.9833333333333333,0.9833333333333333,14186.197251914738,1112724.8147552856,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_1,aemeath,aemeath,53.59999999999998,53.98333333333331,35.11666666666666,35.49999999999999,0.38333333333333336,0.38333333333333336,3939.864215012907,1116664.6789702985,0.0,0.0,False
aemeath_echo_sigillum,aemeath_echo_sigillum,aemeath,aemeath,53.98333333333331,53.98333333333331,35.49999999999999,35.49999999999999,0.0,0.0,0.0,1116664.6789702985,0.0,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_2,aemeath,aemeath,53.98333333333331,54.66666666666664,35.49999999999999,36.18333333333332,0.6833333333333333,0.6833333333333333,11718.43971265759,1128383.118682956,5814.16855031031,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_3,aemeath,aemeath,54.66666666666664,55.39999999999998,36.18333333333332,36.91666666666666,0.7333333333333333,0.7333333333333333,25360.485189840365,1153743.6038727965,17442.50565093093,0.0,False
aemeath_basic_attack,aemeath_basic_form_stage_4,aemeath,aemeath,55.39999999999998,56.38333333333331,36.91666666666666,37.89999999999999,0.9833333333333333,0.9833333333333333,11440.48165476995,1165184.0855275665,0.0,0.0,False
aemeath_heavy_attack,aemeath_heavy_aemeath_charged_1,aemeath,aemeath,56.38333333333331,57.583333333333314,37.89999999999999,39.099999999999994,1.2,1.2,11047.090250517958,1176231.1757780844,0.0,0.0,False
short_wait,short_wait,,aemeath,57.583333333333314,58.083333333333314,39.099999999999994,39.599999999999994,0.5,0.5,0.0,1176231.1757780844,0.0,0.0,False
aemeath_resonance_liberation,aemeath_liberation_overdrive,aemeath,aemeath,58.083333333333314,62.44999999999998,39.599999999999994,39.599999999999994,0.0,0.0,119481.84372859035,1295713.0195066747,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,62.44999999999998,63.21666666666665,39.599999999999994,40.36666666666666,0.7666666666666667,0.7666666666666667,7890.778750369972,1303603.7982570447,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,63.21666666666665,64.18333333333331,40.36666666666666,41.33333333333333,0.9666666666666667,0.9666666666666667,9244.017980208275,1312847.8162372531,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,64.18333333333331,65.19999999999997,41.33333333333333,42.349999999999994,1.0166666666666666,1.0166666666666666,11440.48165476995,1324288.297892023,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_1,aemeath,aemeath,65.19999999999997,65.69999999999997,42.349999999999994,42.849999999999994,0.5,0.5,5916.171507333296,1330204.4693993565,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,65.69999999999997,66.46666666666664,42.849999999999994,43.61666666666666,0.7666666666666667,0.7666666666666667,7890.778750369972,1338095.2481497265,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,66.46666666666664,67.43333333333331,43.61666666666666,44.58333333333333,0.9666666666666667,0.9666666666666667,9244.017980208275,1347339.266129935,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,67.43333333333331,68.44999999999997,44.58333333333333,45.599999999999994,1.0166666666666666,1.0166666666666666,11440.48165476995,1358779.747784705,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_1,aemeath,aemeath,68.44999999999997,68.94999999999997,45.599999999999994,46.099999999999994,0.5,0.5,5916.171507333296,1364695.9192920383,0.0,0.0,False
